KakaoTalk Chats with 아기공주민희❤
Date Saved : July 3, 2020, 2:12 p.m.


July 18, 2019, 8:14 p.m., you : 근데 끼리끼리논다구 다 이상한애들이야ㅜㅠ
July 18, 2019, 8:16 p.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋ
July 18, 2019, 8:17 p.m., 아기공주민희❤ : 좀 덜이상한애 없어요?
July 18, 2019, 8:17 p.m., you : 내가 제일 안이상해ㅜ
July 18, 2019, 8:17 p.m., you : Emoticons
July 18, 2019, 9:15 p.m., 아기공주민희❤ : Emoticons
July 18, 2019, 9:15 p.m., 아기공주민희❤ : 알겠습니다
July 18, 2019, 9:15 p.m., 아기공주민희❤ : 여친한테 걸렸어요?
July 18, 2019, 9:18 p.m., you : 다행히 아직 안걸린거같아
July 18, 2019, 9:18 p.m., you : 후
July 18, 2019, 9:18 p.m., you : 나 좀 잘하는거같애 ㅎㅎㅎㅎㅎ
July 18, 2019, 11:39 p.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 18, 2019, 11:39 p.m., 아기공주민희❤ : 참 대단하십니다
July 18, 2019, 11:40 p.m., 아기공주민희❤ : 리스펙해요

July 19, 2019, 1:02 a.m.
July 19, 2019, 1:02 a.m., you : 뭐했다고 내일 100일이지ㅜㅠ하
July 19, 2019, 1:05 a.m., 아기공주민희❤ : 워우
July 19, 2019, 1:05 a.m., 아기공주민희❤ : 뭐 준비하셧나요
July 19, 2019, 1:05 a.m., you : 그러게
July 19, 2019, 1:05 a.m., you : 뭐준비해야되지..?
July 19, 2019, 1:06 a.m., you : This message was deleted.
July 19, 2019, 1:06 a.m., you : ㅎㅎㅎㅎ
July 19, 2019, 1:10 a.m., 아기공주민희❤ : 준비 안하셧어요???
July 19, 2019, 1:10 a.m., 아기공주민희❤ : 와우
July 19, 2019, 1:10 a.m., 아기공주민희❤ : 멋쟁이네
July 19, 2019, 1:20 a.m., you : 욕먹을준비라도해가야지 ㅎㅎㅎㅎㅎㅎ
July 19, 2019, 1:20 a.m., 아기공주민희❤ : 인정
July 19, 2019, 1:20 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:20 a.m., you : 혼나겠지? ㅍㅎㅎㅎㅎ
July 19, 2019, 1:20 a.m., 아기공주민희❤ : 쳐맞을 준비하세요
July 19, 2019, 1:20 a.m., you : 오 준비할거많다
July 19, 2019, 1:20 a.m., 아기공주민희❤ : Photo
July 19, 2019, 1:20 a.m., you : 욕먹을즌비 처맞을준비
July 19, 2019, 1:20 a.m., 아기공주민희❤ : 술마십니다
July 19, 2019, 1:20 a.m., you : 마싯겠다...
July 19, 2019, 1:20 a.m., 아기공주민희❤ : 즘트즘트
July 19, 2019, 1:20 a.m., you : 누구랑마셔!
